#ndep: 2897
#depth (km)    Vs_arithmetic (km/s)    Vs_geometric (km/s)
   540.0           5.2735E+00              5.2734E+00
   541.0           5.2758E+00              5.2757E+00
   542.0           5.2782E+00              5.2780E+00
   543.0           5.2805E+00              5.2803E+00
   544.0           5.2828E+00              5.2827E+00
   545.0           5.2852E+00              5.2850E+00
   546.0           5.2875E+00              5.2874E+00
   547.0           5.2899E+00              5.2897E+00
   548.0           5.2923E+00              5.2921E+00
   549.0           5.2946E+00              5.2945E+00
   550.0           5.2970E+00              5.2969E+00
   551.0           5.2994E+00              5.2992E+00
   552.0           5.3018E+00              5.3016E+00
   553.0           5.3042E+00              5.3040E+00
   554.0           5.3066E+00              5.3064E+00
   555.0           5.3090E+00              5.3088E+00
   556.0           5.3114E+00              5.3112E+00
   557.0           5.3138E+00              5.3137E+00
   558.0           5.3162E+00              5.3161E+00
   559.0           5.3187E+00              5.3185E+00
   560.0           5.3211E+00              5.3209E+00
   561.0           5.3235E+00              5.3234E+00
   562.0           5.3260E+00              5.3258E+00
   563.0           5.3284E+00              5.3282E+00
   564.0           5.3309E+00              5.3307E+00
   565.0           5.3333E+00              5.3331E+00
   566.0           5.3358E+00              5.3356E+00
   567.0           5.3382E+00              5.3380E+00
   568.0           5.3407E+00              5.3405E+00
   569.0           5.3432E+00              5.3430E+00
   570.0           5.3456E+00              5.3454E+00
   571.0           5.3481E+00              5.3479E+00
   572.0           5.3506E+00              5.3504E+00
   573.0           5.3530E+00              5.3529E+00
   574.0           5.3555E+00              5.3553E+00
   575.0           5.3580E+00              5.3578E+00
   576.0           5.3605E+00              5.3603E+00
   577.0           5.3630E+00              5.3628E+00
   578.0           5.3655E+00              5.3653E+00
   579.0           5.3679E+00              5.3678E+00
   580.0           5.3704E+00              5.3703E+00
   581.0           5.3729E+00              5.3728E+00
   582.0           5.3754E+00              5.3752E+00
   583.0           5.3779E+00              5.3777E+00
   584.0           5.3804E+00              5.3802E+00
   585.0           5.3829E+00              5.3827E+00
   586.0           5.3854E+00              5.3852E+00
   587.0           5.3879E+00              5.3877E+00
   588.0           5.3904E+00              5.3902E+00
   589.0           5.3929E+00              5.3927E+00
   590.0           5.3954E+00              5.3952E+00
   591.0           5.3979E+00              5.3977E+00
   592.0           5.4004E+00              5.4002E+00
   593.0           5.4029E+00              5.4027E+00
   594.0           5.4054E+00              5.4052E+00
   595.0           5.4079E+00              5.4077E+00
   596.0           5.4104E+00              5.4102E+00
   597.0           5.4129E+00              5.4127E+00
   598.0           5.4154E+00              5.4152E+00
   599.0           5.4179E+00              5.4177E+00
   600.0           5.4204E+00              5.4202E+00
   601.0           5.4229E+00              5.4227E+00
   602.0           5.4254E+00              5.4252E+00
   603.0           5.4279E+00              5.4277E+00
   604.0           5.4304E+00              5.4302E+00
   605.0           5.4329E+00              5.4327E+00
   606.0           5.4354E+00              5.4352E+00
   607.0           5.4379E+00              5.4377E+00
   608.0           5.4403E+00              5.4401E+00
   609.0           5.4428E+00              5.4426E+00
   610.0           5.4453E+00              5.4451E+00
   611.0           5.4478E+00              5.4476E+00
