#ndep: 2897
#depth (km)   Rho_arithmetic (g/cm^3)   Rho_geometric (g/cm^3)
   566.0           3.9413E+00              3.9413E+00
   567.0           3.9425E+00              3.9425E+00
   568.0           3.9438E+00              3.9438E+00
   569.0           3.9451E+00              3.9451E+00
   570.0           3.9464E+00              3.9464E+00
   571.0           3.9476E+00              3.9476E+00
   572.0           3.9489E+00              3.9489E+00
   573.0           3.9502E+00              3.9502E+00
   574.0           3.9514E+00              3.9514E+00
   575.0           3.9527E+00              3.9527E+00
   576.0           3.9540E+00              3.9540E+00
   577.0           3.9552E+00              3.9552E+00
   578.0           3.9565E+00              3.9565E+00
   579.0           3.9578E+00              3.9578E+00
   580.0           3.9590E+00              3.9590E+00
   581.0           3.9603E+00              3.9603E+00
   582.0           3.9616E+00              3.9616E+00
   583.0           3.9628E+00              3.9628E+00
   584.0           3.9641E+00              3.9641E+00
   585.0           3.9653E+00              3.9653E+00
   586.0           3.9666E+00              3.9666E+00
   587.0           3.9678E+00              3.9678E+00
   588.0           3.9691E+00              3.9691E+00
   589.0           3.9703E+00              3.9703E+00
   590.0           3.9716E+00              3.9716E+00
   591.0           3.9728E+00              3.9728E+00
   592.0           3.9741E+00              3.9741E+00
   593.0           3.9753E+00              3.9753E+00
   594.0           3.9765E+00              3.9765E+00
   595.0           3.9778E+00              3.9778E+00
   596.0           3.9790E+00              3.9790E+00
   597.0           3.9803E+00              3.9803E+00
   598.0           3.9815E+00              3.9815E+00
   599.0           3.9827E+00              3.9827E+00
   600.0           3.9839E+00              3.9839E+00
   601.0           3.9852E+00              3.9852E+00
   602.0           3.9864E+00              3.9864E+00
   603.0           3.9876E+00              3.9876E+00
   604.0           3.9888E+00              3.9888E+00
   605.0           3.9901E+00              3.9901E+00
   606.0           3.9913E+00              3.9913E+00
   607.0           3.9925E+00              3.9925E+00
   608.0           3.9937E+00              3.9937E+00
   609.0           3.9949E+00              3.9949E+00
   610.0           3.9961E+00              3.9961E+00
   611.0           3.9973E+00              3.9973E+00
   612.0           3.9985E+00              3.9985E+00
   613.0           3.9997E+00              3.9997E+00
   614.0           4.0009E+00              4.0009E+00
   615.0           4.0021E+00              4.0021E+00
   616.0           4.0033E+00              4.0033E+00
   617.0           4.0045E+00              4.0045E+00
   618.0           4.0057E+00              4.0057E+00
   619.0           4.0069E+00              4.0069E+00
   620.0           4.0080E+00              4.0080E+00
   621.0           4.0092E+00              4.0092E+00
   622.0           4.0104E+00              4.0104E+00
   623.0           4.0116E+00              4.0116E+00
   624.0           4.0127E+00              4.0127E+00
   625.0           4.0139E+00              4.0139E+00
   626.0           4.0150E+00              4.0150E+00
   627.0           4.0162E+00              4.0162E+00
   628.0           4.0174E+00              4.0174E+00
